"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","17100","Register User with existing email","chromium","2026-03-09","passed","2026-03-09","Auth Testing","auth.spec.ts","",""
"","12540","Add Products in Cart","chromium","2026-03-09","passed","2026-03-09","Cart and Order Section Testing","cart&order.spec.ts","",""
"","13855","Place Order: Login before Checkout","chromium","2026-03-09","passed","2026-03-09","Order and Authentication Section Testing","order.spec.ts","",""
"","10355","Verify All Products and product detail page","chromium","2026-03-09","passed","2026-03-09","Product Section Testing","product.spec.ts","",""
"","7469","Login User with incorrect email and password","chromium","2026-03-09","passed","2026-03-09","Auth Testing","auth.spec.ts","",""
"","14291","Register User","chromium","2026-03-09","passed","2026-03-09","Auth Testing","auth.spec.ts","",""
"","10562","Logout User","chromium","2026-03-09","passed","2026-03-09","Auth Testing","auth.spec.ts","",""
"","6553","Contact Us Form","chromium","2026-03-09","failed","2026-03-09","Menu Testing","contactUS.spec.ts","",""
"","16503","Verify Test Cases Page","chromium","2026-03-09","passed","2026-03-09","Menu Testing","contactUS.spec.ts","",""
"","120050","Place Order: Register while Checkout","chromium","2026-03-09","broken","2026-03-09","Order and Authentication Section Testing","order.spec.ts","",""
"","4519","Validating Form Title","chromium","2026-03-09","passed","2026-03-09","Check Url","form.spec.ts","",""
"","5909","Search Product","chromium","2026-03-09","passed","2026-03-09","Product Section Testing","product.spec.ts","",""
"","11514","Verify Product quantity in Cart","chromium","2026-03-09","passed","2026-03-09","Cart and Order Section Testing","cart&order.spec.ts","",""
"","15897","Remove Products From Cart","chromium","2026-03-09","passed","2026-03-09","Cart and Order Section Testing","cart&order.spec.ts","",""
"","120127","Place Order: Register before Checkout","chromium","2026-03-09","broken","2026-03-09","Order and Authentication Section Testing","order.spec.ts","",""
"","4031","Verify Subscription in home page","chromium","2026-03-09","passed","2026-03-09","Product Section Testing","product.spec.ts","",""
"","9809","Submitting Form","chromium","2026-03-09","passed","2026-03-09","Check Url","form.spec.ts","",""
"","3630","Verify Subscription in Cart page","chromium","2026-03-09","passed","2026-03-09","Product Section Testing","product.spec.ts","",""
"","7706","Login User with correct email and password","chromium","2026-03-09","passed","2026-03-09","Auth Testing","auth.spec.ts","",""
